time [s];steps;f [Hz];FRCE [MW];aFRR FRCE (open loop) [MW];FCR P [MW];aFRR P [MW];mFRR P [MW];SB P [MW];P gen [MW];P gen schedule [MW];insufficient pos. aFRR;insufficient neg. aFRR;insufficient pos. mFRR;insufficient neg. mFRR;AEP [EUR/MWh]
42;42;50;0;0;0;0;0;0;0;0;False;False;False;False;0
43;43;50;0;0;0;0;0;0;0;0;False;False;False;False;0
44;44;50;0;0;0;0;0;0;0;0;False;False;False;False;0
45;45;50;0;0;0;0;0;0;0;0;False;False;False;False;0
46;46;50;0;0;0;0;0;0;0;0;False;False;False;False;0
47;47;50;0;0;0;0;0;0;0;0;False;False;False;False;0
48;48;50;0;0;0;0;0;0;0;0;False;False;False;False;0
49;49;50;0;0;0;0;0;0;0;0;False;False;False;False;0
50;50;50;0;0;0;0;0;0;0;0;False;False;False;False;0
51;51;50;0;0;0;0;0;0;0;0;False;False;False;False;0
52;52;50;0;0;0;0;0;0;0;0;False;False;False;False;0
53;53;50;0;0;0;0;0;0;0;0;False;False;False;False;0
54;54;50;0;0;0;0;0;0;0;0;False;False;False;False;0
55;55;50;0;0;0;0;0;0;0;0;False;False;False;False;0
56;56;50;0;0;0;0;0;0;0;0;False;False;False;False;0
57;57;50;0;0;0;0;0;0;0;0;False;False;False;False;0
58;58;50;0;0;0;0;0;0;0;0;False;False;False;False;0
59;59;50;0;0;0;0;0;0;0;0;False;False;False;False;0
60;;50;0;0;0;0;0;0;0;;False;False;False;False;0
61;;50;0;0;0;0;0;0;0;;False;False;False;False;0
62;;50;0;0;0;0;0;0;0;;False;False;False;False;0
63;;50;0;0;0;0;0;0;0;;False;False;False;False;0
64;;50;0;0;0;0;0;0;0;;False;False;False;False;0
65;;50;0;0;0;0;0;0;0;;False;False;False;False;0
66;;50;0;0;0;0;0;0;0;;False;False;False;False;0
67;;50;0;0;0;0;0;0;0;;False;False;False;False;0
68;;50;0;0;0;0;0;0;0;;False;False;False;False;0
69;;50;0;0;0;0;0;0;0;;False;False;False;False;0
70;;50;0;0;0;0;0;0;0;;False;False;False;False;0
71;;50;0;0;0;0;0;0;0;;False;False;False;False;0
72;;50;0;0;0;0;0;0;0;;False;False;False;False;0
73;;50;0;0;0;0;0;0;0;;False;False;False;False;0
74;;50;0;0;0;0;0;0;0;;False;False;False;False;0
75;;50;0;0;0;0;0;0;0;;False;False;False;False;0
76;;50;0;0;0;0;0;0;0;;False;False;False;False;0
77;;50;0;0;0;0;0;0;0;;False;False;False;False;0
78;;50;0;0;0;0;0;0;0;;False;False;False;False;0
79;;50;0;0;0;0;0;0;0;;False;False;False;False;0
80;;50;0;0;0;0;0;0;0;;False;False;False;False;0
81;;50;0;0;0;0;0;0;0;;False;False;False;False;0
82;;50;0;0;0;0;0;0;0;;False;False;False;False;0
83;;50;0;0;0;0;0;0;0;;False;False;False;False;0
84;;50;0;0;0;0;0;0;0;;False;False;False;False;0
85;;50;0;0;0;0;0;0;0;;False;False;False;False;0
86;;50;0;0;0;0;0;0;0;;False;False;False;False;0
87;;50;0;0;0;0;0;0;0;;False;False;False;False;0
88;;50;0;0;0;0;0;0;0;;False;False;False;False;0
89;;50;0;0;0;0;0;0;0;;False;False;False;False;0
90;;50;0;0;0;0;0;0;0;;False;False;False;False;0
91;;50;0;0;0;0;0;0;0;;False;False;False;False;0
92;;50;0;0;0;0;0;0;0;;False;False;False;False;0
93;;50;0;0;0;0;0;0;0;;False;False;False;False;0
94;;50;0;0;0;0;0;0;0;;False;False;False;False;0
95;;50;0;0;0;0;0;0;0;;False;False;False;False;0
96;;50;0;0;0;0;0;0;0;;False;False;False;False;0
97;;50;0;0;0;0;0;0;0;;False;False;False;False;0
98;;50;0;0;0;0;0;0;0;;False;False;False;False;0
99;;50;0;0;0;0;0;0;0;;False;False;False;False;0
100;;50;0;0;0;0;0;0;0;;False;False;False;False;0
101;;50;0;0;0;0;0;0;0;;False;False;False;False;0
102;;50;0;0;0;0;0;0;0;;False;False;False;False;0
103;;50;0;0;0;0;0;0;0;;False;False;False;False;0
104;;50;0;0;0;0;0;0;0;;False;False;False;False;0
105;;50;0;0;0;0;0;0;0;;False;False;False;False;0
106;;50;0;0;0;0;0;0;0;;False;False;False;False;0
107;;50;0;0;0;0;0;0;0;;False;False;False;False;0
108;;50;0;0;0;0;0;0;0;;False;False;False;False;0
109;;50;0;0;0;0;0;0;0;;False;False;False;False;0
110;;50;0;0;0;0;0;0;0;;False;False;False;False;0
111;;50;0;0;0;0;0;0;0;;False;False;False;False;0
112;;50;0;0;0;0;0;0;0;;False;False;False;False;0
113;;50;0;0;0;0;0;0;0;;False;False;False;False;0
