time [s];GER pos. energy aFRR [MWh];GER neg. energy aFRR [MWh];GER pos. aFRR costs [EUR];GER neg. aFRR costs [EUR];GER pos. energy mFRR [MWh];GER neg. energy mFRR [MWh];GER pos. mFRR costs [EUR];GER neg. mFRR costs [EUR];GER AEP [EUR/MWh];Solar AEP costs [EUR];Solar Marktprämie [EUR];Wind offshore AEP costs [EUR];Wind offshore Marktprämie [EUR];Wind onshore AEP costs [EUR];Wind onshore Marktprämie [EUR];Aluminium AEP costs [EUR];Steel AEP costs [EUR];Cement AEP costs [EUR];Paper AEP costs [EUR];Chlorine AEP costs [EUR];Gas AEP costs [EUR];
840;0.0;-14.174362891743398;0.0;-108.61149856888109;0.0;0.0;0.0;0.0;7.662531247323121;-0.0;0.0;-4.0186573137867906e-07;1354.6930094730676;-7.2335740274546335e-06;6730.342840769193;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
1740;0.0;-48.6497147600721;0.0;124.56179138840675;0.0;0.0;0.0;0.0;-2.5603807134885272;0.0;0.0;-1.0390295550145659e-07;725.1004074190012;3.1170981149764406e-07;5764.612250348496;0.0;0.0;0.0;0.0;0.0;0.0
2640;0.0;-65.50972019036232;0.0;539.2570819623938;0.0;0.0;0.0;0.0;-6.931664228434769;0.0;0.0;-2.6503734846862893e-07;723.502264208501;4.770677093443741e-06;5976.235313310748;0.0;0.0;-32.886950604872446;-15.242996244432163;-43.07441821902287;-45.0305999361898
3540;0.0;-67.49917900820837;0.0;763.4527926983511;0.0;0.0;0.0;0.0;-9.319014809850032;0.0;0.0;2.3991668150378605e-07;689.9412566975009;3.598782953047852e-07;6058.25749423775;0.0;0.0;-53.06450978353283;-23.988389130167125;-70.90589515459808;-74.70286440753115
4440;0.0;-77.3664179875058;0.0;1003.8949867240226;0.0;0.0;0.0;0.0;-2.9097015850069425;0.0;0.0;-2.781684537154461e-07;653.4122689255008;-1.7617300264099653e-06;6185.231331799752;0.0;0.0;-61.9965308030249;-28.256476752534095;-82.53376688982617;-84.97234839329579
5340;0.10600523735685363;-90.9118853111368;3.1801571207056085;1769.0077636763388;0.0;0.0;0.0;0.0;-19.037056088535934;0.0;0.0;-25.967265092127505;654.5537997255008;-25.967276758267293;6385.417059161828;0.0;0.0;-216.15797147539064;-92.44286763508075;-305.21239945845775;-310.4719032821455
6240;3.563154116091205e-06;-104.6438601828175;0.00010689462348273617;2490.606617433615;0.0;0.0;0.0;0.0;-23.800792562343638;0.0;0.0;-62.905740661155434;655.4670244560009;-62.905725922348346;6548.42428323513;0.0;0.0;-471.02948867838245;-198.46342359273473;-727.9342128421229;-769.8805436955035
7140;-1.1266091906984873e-11;-116.65775028810631;-3.379827572095461e-10;3354.1399694387433;0.0;0.0;0.0;0.0;-28.75196856749301;0.0;0.0;-169.7355089766575;655.6801102053344;-152.67031665799988;6549.3958572357315;0.0;0.0;-567.5973166851278;-241.0490818837561;-922.0613521805724;-1030.3969491220682
8040;2.846647376760814e-17;-128.26508524390994;8.539942130282446e-16;4310.876018589482;0.0;0.0;0.0;0.0;-33.60911514144231;0.0;0.0;-218.65370781825115;591.343430516334;-218.6537397622502;6562.395314730175;0.0;0.0;-666.0180056283665;-283.29584550564846;-1107.1022355738191;-1317.854534303833
8940;-6.208862104368513e-23;-138.2362398311985;-1.8626586313105542e-21;5217.921837313585;0.0;0.0;0.0;0.0;-37.746410374625604;0.0;0.0;-265.3253427306292;546.5435375907315;-265.3253530657523;6611.29005819113;0.0;0.0;-743.4789145102097;-316.88098455884835;-1258.3440044897795;-1595.3082126442637
9840;1.1849277418047707e-28;-140.05547543985523;3.554783225414313e-27;5506.612607574667;0.0;0.0;0.0;0.0;-39.31736756653545;0.0;0.0;-433.32297723523646;542.2748234403648;-402.8010834368566;6498.867504551082;0.0;0.0;-783.772299089948;-332.28619203506645;-1325.9769548450174;-1721.0477693521836
10740;-1.9239003215649497e-34;-143.39716070580576;-5.7717009646948485e-33;5741.1933134281835;0.0;0.0;0.0;0.0;-40.03700830037242;0.0;0.0;-458.7787951061724;566.006069884454;-426.2459546526972;6578.16618069336;0.0;0.0;-802.826789809609;-339.3715968725145;-1361.5434577843425;-1818.2957963570489
11640;2.3549111814528253e-40;-144.8977773723065;7.064733544358476e-39;5771.723956602784;0.0;0.0;0.0;0.0;-39.833074469960096;0.0;0.0;-454.65409715195614;614.1436070525006;-409.0297866693232;6814.736800220606;0.0;0.0;-795.9348993519174;-337.4465370237409;-1351.1888211060952;-1785.5147765501388
12540;-8.237485198163729e-47;-140.8848635614925;-2.4712455594491183e-45;5463.80779330208;0.0;0.0;0.0;0.0;-38.78207818199912;0.0;0.0;-441.4395733859563;617.9794746431486;-415.10387923149267;6784.579713345;0.0;0.0;-781.3882262153594;-330.912430281966;-1324.7230218460072;-1747.3475931853427
13440;-7.024515959168283e-52;-134.54812261529267;-2.1073547877504843e-50;4995.4716887522745;0.0;0.0;0.0;0.0;-37.12776954187313;0.0;0.0;-410.6191990856006;616.8832810630006;-389.1976666771446;6909.53170080965;0.0;0.0;-746.1765460049054;-315.6252714638447;-1253.5649542115493;-1600.4417003158667
14340;3.0989887774550473e-57;-130.69260315207396;9.296966332365142e-56;4399.514851954974;0.0;0.0;0.0;0.0;-33.663074618199296;0.0;0.0;-245.7296594394815;614.6002193725008;-245.72969569731134;7034.508928030176;0.0;0.0;-675.352499091409;-286.9309258754891;-1137.2539396628163;-1434.6219364768604
